knowledge,freq,mean_confidence,best_future_domain,trend_label,trend_score,similarity,future_weight
Arena,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.2755735,0.1929014444351196
stormwater management,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.22564247,0.191796101629734
CI/CD,3,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.27394512,0.1917615860700607
TLS,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.21263033,0.1913672983646392
Digital Transformation,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.27209032,0.1904632210731506
CX,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2712782,0.1898947417736053
architectural drawings,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2705871,0.1894109606742858
Orbis ED systems,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.22272725,0.1893181659281253
National Catholic Safeguarding Standards,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.2100996,0.1890896335244178
risk signal models,1,0.83,Cybersecurity & Privacy,Strong_Growth,0.9,0.20985258,0.1888673186302185
GraphQL,1,0.75,Data & Analytics,Strong_Growth,0.9,0.20971847,0.1887466192245483
GenAI,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.19851899,0.18859304189682
MSK,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.18752034,0.1875203400850296
estimating software,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.31241736,0.1874504148960113
middleware technologies,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.3740354,0.1870176941156387
Agile methodology,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.31067917,0.1864075005054473
cutting edge technology,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.338292,0.1860606014728546
casino games,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.26452133,0.1851649314165115
modelling approaches,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.30838427,0.1850305616855621
ETL,2,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.26403272,0.1848229050636291
market research,1,0.827,AI & Machine Learning,Strong_Growth,1.0,0.1843412,0.1843412071466446
GDPR,1,0.75,Data & Analytics,Strong_Growth,0.9,0.2047392,0.1842652782797813
Insurance domain concepts,1,0.83,Cybersecurity & Privacy,Strong_Growth,0.9,0.20465119,0.1841860726475715
Data Architecture and Management,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.30672917,0.1840375006198883
serious criminal offences,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.20424913,0.1838242158293724
CI,5,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.26184392,0.1832907438278198
Auth0,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.19142614,0.1818548358976841
culture,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.25967294,0.1817710578441619
Marketing Communications (MarCom),1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.1813998,0.1813998073339462
payloads,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.21326528,0.1812754921615123
digital marketing,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2585109,0.1809576213359832
Onion / Clean architecture,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.21280552,0.1808846957981586
dairy technology,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.18087304,0.1808730363845825
PLCs,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.3612178,0.1806088984012603
time-based media,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.25653136,0.1795719504356384
APIs,3,0.7753333333333333,Automation & RPA,Moderate_Growth,0.5,0.358304,0.1791519969701767
Framework for Winning,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2553436,0.1787405103445053
IBP,1,0.831,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.18805477,0.1786520317196845
Video Routing,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.25491878,0.1784431487321853
Regulatory Data,1,0.824,Cybersecurity & Privacy,Strong_Growth,0.9,0.19783339,0.1780500501394271
middleware infrastructure,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.3555261,0.1777630448341369
post-production workflows,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.35369515,0.1768475770950317
quantitative equity funds,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.20799397,0.1767948739230632
visualization,1,0.819,XR & Interactive Media,Moderate_Growth,0.7,0.25253397,0.1767737805843353
RabbitMQ,1,0.823,XR & Interactive Media,Moderate_Growth,0.7,0.25205493,0.1764384508132934
PostgreSQL,1,0.75,Data & Analytics,Strong_Growth,0.9,0.19599958,0.1763996198773384
Boomi,1,0.826,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.18557319,0.1762945309281349
Automatic Identification,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.18466271,0.1754295788705349
Graduate Development Programme,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.29199907,0.1751994431018829
SAP’s ISA-M methodology,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.29172096,0.1750325739383697
Trainium,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.18347502,0.174301266670227
Production Control Room systems,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.34826407,0.1741320341825485
artistic movements,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.24799104,0.1735937282443046
automated testing,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.3470717,0.1735358536243438
SAP Integration Suite,1,0.83,Automation & RPA,Moderate_Growth,0.5,0.3467185,0.1733592450618744
Mars,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.20357496,0.173038712143898
ECC,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.20343146,0.1729167386889457
Photoshop,1,0.825,XR & Interactive Media,Moderate_Growth,0.7,0.24687186,0.1728103011846542
data quality,1,0.826,Data & Analytics,Strong_Growth,0.9,0.19111003,0.1719990268349647
S3,2,0.7889999999999999,XR & Interactive Media,Moderate_Growth,0.7,0.24552333,0.1718663334846496
ETL),1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.24531628,0.1717213973402976
GraphQL (Apollo),1,0.83,Data & Analytics,Strong_Growth,0.9,0.19056843,0.1715115889906883
Technology Consulting,1,0.83,Green & Sustainable Tech,Moderate_Growth,0.55,0.31183738,0.1715105563402176
"Sub,",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.18046008,0.1714370764791965
Moon,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.17140155,0.1714015454053878
ERP systems,1,0.827,Automation & RPA,Moderate_Growth,0.5,0.34240162,0.1712008118629455
IP,1,0.825,AI & Machine Learning,Strong_Growth,1.0,0.17105588,0.1710558831691742
MuleSoft development.,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.33878517,0.1693925857543945
power supply sector,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.30783254,0.1693078964948654
data architecture,1,0.822,Software Engineering Foundations,Moderate_Growth,0.6,0.28170758,0.1690245509147644
quantum information science,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.18712671,0.1684140399098396
satellites,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.19769569,0.1680413343012332
BigQuery,1,0.828,Data & Analytics,Strong_Growth,0.9,0.18655346,0.167898117005825
Transport Planning,1,0.831,AI & Machine Learning,Strong_Growth,1.0,0.1677367,0.1677366942167282
autonomous systems,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.33468917,0.1673445850610733
Mypy,1,0.75,Data & Analytics,Strong_Growth,0.9,0.18572995,0.1671569555997848
"Actions,",1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.2385383,0.1669768065214157
Process Orchestration (PO),1,0.83,Automation & RPA,Moderate_Growth,0.5,0.33265832,0.1663291603326797
SAP Process Integration (PI),1,0.83,Automation & RPA,Moderate_Growth,0.5,0.33252886,0.1662644296884536
communications,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2373364,0.1661354780197143
recommender systems,1,0.831,XR & Interactive Media,Moderate_Growth,0.7,0.23684205,0.1657894358038902
ISO/IEC 42001,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.19453765,0.1653570063412189
in-circuit emulators,1,0.823,XR & Interactive Media,Moderate_Growth,0.7,0.23560591,0.1649241372942924
"lighting,",1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.23479421,0.1643559500575065
Play Store).,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.23312204,0.1631854251027107
-library),1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.17154813,0.1629707217216491
Civil Engineering,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.27084368,0.1625062108039855
#,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.17051631,0.1619904965162277
object,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.17047721,0.1619533509016037
Electrical Engineering,1,0.532,Green & Sustainable Tech,Moderate_Growth,0.55,0.29396775,0.1616822645068169
electrical engineering,1,0.831,Green & Sustainable Tech,Moderate_Growth,0.55,0.29396775,0.1616822645068169
sourcing processes,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.32160857,0.1608042865991592
logic analyzers,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.2677228,0.1606336712837219
cyber controls,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.32094836,0.1604741811752319
acoustic products,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.16020966,0.1602096557617187
water treatment,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.18773276,0.1595728427171707
Power Platform,1,0.831,Green & Sustainable Tech,Moderate_Growth,0.55,0.2894207,0.1591813817620277
architectural aluminum systems,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.18690439,0.1588687278330326
watershed planning,1,0.75,Data & Analytics,Strong_Growth,0.9,0.17640257,0.1587623119354248
master data management and governance,1,0.83,Software Engineering Foundations,Moderate_Growth,0.6,0.26446116,0.1586766958236694
reliability engineering,1,0.822,Software Engineering Foundations,Moderate_Growth,0.6,0.26359466,0.158156794309616
Power BI,3,0.8303333333333333,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.16588849,0.1575940638780593
business process optimization,1,0.828,Automation & RPA,Moderate_Growth,0.5,0.314744,0.1573719978332519
Allen Bradley,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.16541764,0.1571467593312263
Django,1,0.827,Data & Analytics,Strong_Growth,0.9,0.17451757,0.1570658147335052
C#,2,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.26051092,0.1563065528869628
PLM,1,0.83,AI & Machine Learning,Strong_Growth,1.0,0.15573424,0.1557342410087585
banking,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.17286405,0.1555776447057724
camera systems,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.22166276,0.1551639318466186
CD pipeline.,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.3103011,0.1551505476236343
-end,4,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.16256589,0.154437592625618
motions,1,0.825,XR & Interactive Media,Moderate_Growth,0.7,0.220574,0.1544018045067787
Microsoft Copilot Studio,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.30566463,0.1528323143720626
SAP,2,0.6815,Automation & RPA,Moderate_Growth,0.5,0.3040572,0.1520286053419113
National High Secure Deaf Service,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.16889264,0.1520033732056618
underground electrical distribution systems,1,0.831,Cloud & DevOps,Strong_Growth,0.85,0.17756182,0.1509275466203689
"#,",2,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.1587956,0.150855815410614
smart city,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.27386665,0.1506266593933105
Microsoft Visio,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.25031728,0.1501903653144836
Anti-DDOS,1,0.82,Cybersecurity & Privacy,Strong_Growth,0.9,0.1668053,0.150124767422676
regulated industries,1,0.828,Green & Sustainable Tech,Moderate_Growth,0.55,0.2728554,0.1500704705715179
testing-library,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.24996212,0.1499772727489471
Neurosurgery,1,0.829,AI & Machine Learning,Strong_Growth,1.0,0.14979772,0.149797722697258
Hexagonal/Onion/Clean architecture,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.17565444,0.1493062749505043
IT,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.15675624,0.1489184252917766
financing of terrorism,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.16511728,0.1486055508255958
regulatory requirements,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.16498317,0.1484848514199257
banking partners,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.1746633,0.1484638094902038
Gitlab,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.17449193,0.1483181379735469
Flask,2,0.7905,Data & Analytics,Strong_Growth,0.9,0.16467959,0.1482116281986236
ASICs,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.21150751,0.1480552598834037
-oriented languages,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.29600772,0.1480038613080978
system design,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.2465859,0.1479515433311462
global perspectives,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.2099255,0.1469478517770767
message queues,1,0.826,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.15463085,0.1468993119895458
SAP’s,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.29343826,0.1467191278934478
mobile applications,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.24431676,0.1465900540351867
panels,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.20935811,0.146550677716732
acquisition management,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.17217983,0.1463528580963611
global food industry,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.2658468,0.1462157338857651
configuration scripts,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.29229382,0.1461469084024429
+,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.15328236,0.1456182412803173
federal environment,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.26457798,0.1455178916454315
FactoryTalkView,1,0.829,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.15288134,0.1452372722327709
Pegasus,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.17034388,0.1447922945022583
Great Lakes research,1,0.75,Data & Analytics,Strong_Growth,0.9,0.16084135,0.1447572112083435
-up,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.15195018,0.1443526715040206
MUnit testing framework,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.24002337,0.144014024734497
hardware validation processes,1,0.83,Automation & RPA,Moderate_Growth,0.5,0.28792927,0.1439646333456039
commerce systems,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.28782836,0.1439141780138015
C,4,0.532,Cybersecurity & Privacy,Strong_Growth,0.9,0.15909146,0.1431823119521141
BHS system operations,1,0.83,Automation & RPA,Moderate_Growth,0.5,0.2857918,0.14289590716362
Elastic Stack,1,0.828,Cloud & DevOps,Strong_Growth,0.85,0.16709246,0.1420285888016224
XML,1,0.825,Software Engineering Foundations,Moderate_Growth,0.6,0.23667496,0.1420049786567687
HANA.,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.20213132,0.1414919212460517
cheminformatics toolkits,1,0.821,Automation & RPA,Moderate_Growth,0.5,0.28261116,0.1413055807352066
engagement,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.20178874,0.1412521168589592
OpenAPI,1,0.829,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.14867187,0.141238272190094
S4 HANA,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.20097591,0.1406831368803978
Looker,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.20078003,0.1405460238456726
CalWORKs,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.23284405,0.1397064328193664
API endpoints,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.16433427,0.1396841272711753
marketing systems,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.23271932,0.1396315902471542
spacecraft,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.19917832,0.1394248262047767
financial partners,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.16378576,0.1392178922891616
content moderation,1,0.826,XR & Interactive Media,Moderate_Growth,0.7,0.19883803,0.139186617732048
Glue,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.14587931,0.1385853476822376
CD).,1,0.532,Cloud & DevOps,Strong_Growth,0.85,0.1625097,0.1381332404911518
theoretical physics,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.1377523,0.1377522945404052
-first,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.14482972,0.1375882342457771
Golang,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.2745778,0.137288898229599
construction inspection,1,0.828,Software Engineering Foundations,Moderate_Growth,0.6,0.22844191,0.1370651453733444
launch reviews,1,0.826,XR & Interactive Media,Moderate_Growth,0.7,0.19563937,0.1369475603103637
"Go),",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.14409807,0.1368931695818901
SIEM,1,0.831,AI & Machine Learning,Strong_Growth,1.0,0.13671164,0.1367116421461105
Microsoft Fabric,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.22641312,0.135847869515419
dairy brands,1,0.75,AI & Machine Learning,Strong_Growth,1.0,0.13504808,0.1350480765104293
Pub/Sub,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.19140452,0.133983165025711
BI,1,0.83,XR & Interactive Media,Moderate_Growth,0.7,0.19119419,0.1338359341025352
end,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.14034109,0.1333240337669849
ERP,2,0.75,AI & Machine Learning,Strong_Growth,1.0,0.13276915,0.1327691525220871
derivatives book,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.22031914,0.1321914821863174
fabric types,1,0.829,Cloud & DevOps,Strong_Growth,0.85,0.15545405,0.132135946303606
NSW Child Safe Standards,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.14647336,0.1318260267376899
CRM,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.2635532,0.1317766010761261
API,1,0.532,Automation & RPA,Moderate_Growth,0.5,0.26346612,0.1317330598831176
SCI eligible,1,0.829,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.13851778,0.1315918929874897
Amazon EventBridge,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.18767962,0.1313757330179214
M&A pipeline,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.2623701,0.1311850547790527
Apple App Store,1,0.825,Cloud & DevOps,Strong_Growth,0.85,0.15431684,0.1311693161725997
Supply,1,0.826,XR & Interactive Media,Moderate_Growth,0.7,0.18734178,0.1311392456293106
domain,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.18688913,0.1308223888278007
API testing,1,0.831,Software Engineering Foundations,Moderate_Growth,0.6,0.21769418,0.1306165069341659
search warrants,1,0.828,Cybersecurity & Privacy,Strong_Growth,0.9,0.14506854,0.1305616870522499
JSON,2,0.826,XR & Interactive Media,Moderate_Growth,0.7,0.18554506,0.129881539940834
C#/.Net Core,1,0.823,Software Engineering Foundations,Moderate_Growth,0.6,0.21642104,0.1298526227474212
payment gateway,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.25854504,0.1292725205421447
IT modernization,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.2583168,0.1291584074497223
BGA,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.18440107,0.1290807455778121
market structures,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.21494284,0.1289657056331634
electricity market structure,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.232017,0.1276093475520611
ISA,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.1820208,0.127414558827877
Next.js,2,0.829,XR & Interactive Media,Moderate_Growth,0.7,0.18079633,0.1265574276447296
oscilloscopes,1,0.828,Data & Analytics,Strong_Growth,0.9,0.14053257,0.1264793112874031
SSCC,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.2515281,0.1257640570402145
in,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.1322925,0.1256778694689273
Visio,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.13225672,0.1256438806653022
application release,1,0.532,Software Engineering Foundations,Moderate_Growth,0.6,0.2089323,0.1253593772649765
Figma,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.17878129,0.1251469001173973
vault logic,1,0.829,Software Engineering Foundations,Moderate_Growth,0.6,0.20850042,0.1251002490520477
GitLab CI,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.17854762,0.1249833345413208
Behance,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.13138847,0.1248190470039844
energy,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.22625826,0.1244420446455478
APAC,1,0.828,Automation & RPA,Moderate_Growth,0.5,0.24863674,0.1243183687329292
JIRA,1,0.75,Data & Analytics,Strong_Growth,0.9,0.1367893,0.1231103762984275
-to,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.12921311,0.1227524541318416
drone inspection tools,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.24467479,0.1223373934626579
S4,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.17424282,0.1219699770212173
Commerce,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.24294215,0.1214710772037506
commerce,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.24294207,0.121471032500267
TFLOPS,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.17263964,0.1208477467298507
API Manager,1,0.828,Automation & RPA,Moderate_Growth,0.5,0.23908994,0.119544968008995
Warner Bros.,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.17074867,0.1195240661501884
testing,2,0.641,Software Engineering Foundations,Moderate_Growth,0.6,0.19900995,0.119405972957611
Testing,1,0.532,Software Engineering Foundations,Moderate_Growth,0.6,0.19900993,0.1194059550762176
"+,",1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.12550902,0.1192335724830627
Event Sourcing,1,0.829,Automation & RPA,Moderate_Growth,0.5,0.23811318,0.1190565899014473
Android,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.17007673,0.1190537095069885
Runtime Manager,1,0.825,Automation & RPA,Moderate_Growth,0.5,0.237889,0.1189445033669471
ELT/ETL,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.23767158,0.1188357919454574
AV equipment,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.23682395,0.118411973118782
CAPEX investments,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.16915792,0.1184105455875396
Thoracics,1,0.829,XR & Interactive Media,Moderate_Growth,0.7,0.16835599,0.1178491905331611
high-frequency trading (HFT) systems,1,0.827,Automation & RPA,Moderate_Growth,0.5,0.23507993,0.1175399646162986
React,2,0.7865,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.123153366,0.1169956978410482
royalty,1,0.532,AI & Machine Learning,Strong_Growth,1.0,0.11676771,0.1167677119374275
WAF,1,0.825,XR & Interactive Media,Moderate_Growth,0.7,0.16592212,0.116145484149456
NDC standards,1,0.75,Software Engineering Foundations,Moderate_Growth,0.6,0.19296923,0.1157815396785736
SLA,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.16516766,0.115617361664772
Veterinary Technology,1,0.822,Automation & RPA,Moderate_Growth,0.5,0.23097317,0.1154865846037864
Mobile QA,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.20978004,0.1153790205717087
derivatives,1,0.826,Data & Analytics,Strong_Growth,0.9,0.12799385,0.1151944667100906
Pub,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.1642914,0.115003977715969
Go,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.120061606,0.1140585258603096
Plastics,1,0.827,Green & Sustainable Tech,Moderate_Growth,0.55,0.20716293,0.1139396123588085
EventStore,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.16264176,0.1138492345809936
chain interoperability,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.22613084,0.1130654215812683
society,1,0.75,Cloud & DevOps,Strong_Growth,0.85,0.1327964,0.112876945734024
cross,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.1608266,0.1125786155462264
London Market,1,0.828,AI & Machine Learning,Strong_Growth,1.0,0.112557516,0.112557515501976
milk processing,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.22475338,0.1123766899108886
wastewater treatment,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.22459596,0.1122979819774627
SAP S/4HANA,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.22444473,0.1122223660349845
material testing,1,0.826,Software Engineering Foundations,Moderate_Growth,0.6,0.18509367,0.1110562026500701
plumbing regulations,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.22198729,0.1109936460852623
identity systems,1,0.532,Software Engineering Foundations,Moderate_Growth,0.6,0.18426643,0.1105598598718643
HPB,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.15783647,0.1104855269193649
overhead electrical distribution systems,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.20050666,0.1102786615490913
PAM,1,0.83,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.11599185,0.11019226051867
PUM,1,0.827,XR & Interactive Media,Moderate_Growth,0.7,0.15676747,0.1097372308373451
Xsolla Privacy Notice,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.12176114,0.109585028886795
Anti,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.1555424,0.1088796824216842
OTT video,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.15530924,0.1087164714932441
nutritional technology,1,0.75,Green & Sustainable Tech,Moderate_Growth,0.55,0.19722159,0.1084718756377697
point of sale,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.15379114,0.1076538011431694
ENT,1,0.828,XR & Interactive Media,Moderate_Growth,0.7,0.15242918,0.106700424849987
case studies,1,0.831,Automation & RPA,Moderate_Growth,0.5,0.21332802,0.1066640093922615
front,1,0.532,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.11200078,0.1064007394015789
live,2,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.15175082,0.1062255725264549
uncertainty and risk,1,0.75,Cybersecurity & Privacy,Strong_Growth,0.9,0.11772949,0.1059565432369709
AECOM University,1,0.75,XR & Interactive Media,Moderate_Growth,0.7,0.15119137,0.1058339580893516
Regulatory,1,0.826,Automation & RPA,Moderate_Growth,0.5,0.21165755,0.1058287769556045
suppliers,1,0.75,Automation & RPA,Moderate_Growth,0.5,0.21059822,0.1052991077303886
capacity planning,2,0.7905,Green & Sustainable Tech,Moderate_Growth,0.55,0.19117339,0.105145364254713
incident response,1,0.75,Human–AI Collaboration & Prompting,Strong_Growth,0.95,0.11039062,0.1048710875213146
CD:,1,0.532,XR & Interactive Media,Moderate_Growth,0.7,0.14898118,0.1042868286371231
MuleSoft,2,0.6805,Automation & RPA,Moderate_Growth,0.5,0.20851023,0.1042551174759864
