knowledge,freq,mean_confidence,best_domain_id,best_future_domain,trend_label,trend_score,similarity,top1_similarity,top2_similarity,top3_similarity,mapping_margin,top2_domain_id,top3_domain_id,domain_source,future_weight,trend_tier,tier_weight,future_weight_tier
internal database systems,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.45588893,0.45588893,0.25542152,0.21727553,0.20046741,DEC01,ONET06,ONET_BrightOutlook_2024,0.22794446349143982,Moderate_Growth,0.7,0.3191222488880157
sales channel operations,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.32404184,0.32404184,0.24941649,0.18454587,0.07462536,ONET02,ESCO02,WEF_FutureOfJobs_2025,0.22682929039001462,Moderate_Growth,0.7,0.22682929039001462
Visual design,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.40609127,0.40609127,0.29694164,0.27922434,0.109149635,DEC02,ONET04,ONET_BrightOutlook_2024,0.22335020005702974,Moderate_Growth,0.7,0.28426389098167415
Amazon learning platforms,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.3182256,0.3182256,0.2813005,0.27631712,0.036925107,WEF01,WEF04,WEF_FutureOfJobs_2025,0.22275791466236114,Moderate_Growth,0.7,0.22275791466236114
global offer marketing,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.31734392,0.31734392,0.2681778,0.18351398,0.049166113,MCK02,ESCO01,WEF_FutureOfJobs_2025,0.2221407443284988,Moderate_Growth,0.7,0.2221407443284988
development programmes,1,0.75,MCK03,Leadership & People Development,Moderate_Growth,0.55,0.4038198,0.4038198,0.40345293,0.4027799,0.0003668666,ONET01,ESCO01,McKinsey_FutureOfWork_2025,0.22210088968276978,Moderate_Growth,0.7,0.2826738595962524
desktop platforms,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.31672364,0.31672364,0.3107949,0.30546525,0.005928755,WEF04,DEC02,WEF_FutureOfJobs_2025,0.22170655131340025,Moderate_Growth,0.7,0.22170655131340025
globally distributed systems,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.4423944,0.4423944,0.30262637,0.2869792,0.13976803,WEF04,ONET02,ONET_BrightOutlook_2024,0.2211972028017044,Moderate_Growth,0.7,0.30967608392238616
automation scripts,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.4389808,0.4389808,0.3467729,0.31889683,0.09220788,DEC03,WEF07,McKinsey_FutureOfWork_2025,0.2194903939962387,Moderate_Growth,0.7,0.30728655159473417
environmental regulations,1,0.75,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.36410362,0.36410362,0.14820331,0.14768521,0.2159003,WEF04,ESCO02,WEF_FutureOfJobs_2025,0.21846216917037964,Moderate_Growth,0.7,0.25487253069877625
test plans,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.39673433,0.39673433,0.25794145,0.25126588,0.13879287,ESCO02,MCK04,ONET_BrightOutlook_2024,0.2182038798928261,Moderate_Growth,0.7,0.2777140289545059
Process Automate,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.43587166,0.43587166,0.2564291,0.22304565,0.17944255,WEF07,DEC03,McKinsey_FutureOfWork_2025,0.21793583035469055,Moderate_Growth,0.7,0.30511016249656675
Software Delivery Knowledge Graph,1,0.75,ONET01,Software Development & Engineering,Moderate_Growth,0.65,0.33526593,0.33526593,0.33180603,0.31994396,0.0034599006,MCK02,ONET02,ONET_BrightOutlook_2024,0.2179228574037552,Moderate_Growth,0.7,0.23468615412712096
Banking Services,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.31129783,0.31129783,0.30398992,0.2840524,0.007307917,ONET06,ONET02,WEF_FutureOfJobs_2025,0.21790848374366759,Moderate_Growth,0.7,0.21790848374366759
programme management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.3935632,0.3935632,0.3182209,0.30104125,0.0753423,ONET02,DEC03,ESCO_v1.2_2024,0.2164597660303116,Moderate_Growth,0.7,0.275494247674942
product ecosystem,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.30898735,0.30898735,0.27499133,0.27169293,0.033996016,WEF04,WEF06,WEF_FutureOfJobs_2025,0.216291144490242,Moderate_Growth,0.7,0.216291144490242
Database,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.43112627,0.43112627,0.2922644,0.22395611,0.13886186,DEC01,WEF02,ONET_BrightOutlook_2024,0.21556313335895538,Moderate_Growth,0.7,0.3017883867025375
subscription campaigns,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.30589575,0.30589575,0.1936129,0.13433768,0.11228284,ESCO01,ONET06,WEF_FutureOfJobs_2025,0.21412702202796935,Moderate_Growth,0.7,0.21412702202796935
Crisis Management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.38880956,0.38880956,0.31062168,0.29489264,0.07818788,ONET02,MCK05,ESCO_v1.2_2024,0.21384525895118714,Moderate_Growth,0.7,0.2721666932106018
entertainment production,1,0.75,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.35413224,0.35413224,0.24221733,0.21949781,0.1119149,MCK02,MCK03,ONET_BrightOutlook_2024,0.21247934103012084,Moderate_Growth,0.7,0.24789256453514097
PostgreSQL,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.42249364,0.42249364,0.19666187,0.146463,0.22583176,WEF02,MCK05,ONET_BrightOutlook_2024,0.2112468183040619,Moderate_Growth,0.7,0.2957455456256866
net zero Scope 1 and 2 greenhouse gas emissions,1,0.75,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.35207698,0.35207698,0.21244231,0.19480602,0.13963467,WEF04,WEF03,WEF_FutureOfJobs_2025,0.21124618649482726,Moderate_Growth,0.7,0.24645388424396514
Industry gateway,1,0.75,WEF05,Digital Platforms & E-commerce,Moderate_Growth,0.7,0.30167907,0.30167907,0.28674877,0.26851907,0.014930308,WEF04,MCK01,WEF_FutureOfJobs_2025,0.2111753523349762,Moderate_Growth,0.7,0.2111753523349762
content systems,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.42106178,0.42106178,0.37563196,0.3619275,0.045429826,ONET06,DEC02,ONET_BrightOutlook_2024,0.21053089201450348,Moderate_Growth,0.7,0.29474324882030484
enterprise software,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.41895092,0.41895092,0.4103548,0.36458868,0.008596122,MCK02,ESCO02,ONET_BrightOutlook_2024,0.20947545766830444,Moderate_Growth,0.7,0.2932656407356262
technical drawings,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.38034576,0.38034576,0.32724422,0.2564385,0.05310154,MCK02,MCK01,ONET_BrightOutlook_2024,0.20919016897678377,Moderate_Growth,0.7,0.2662420332431793
recruitment,1,0.75,MCK03,Leadership & People Development,Moderate_Growth,0.55,0.37933215,0.37933215,0.2521764,0.23738994,0.12715575,MCK02,MCK05,McKinsey_FutureOfWork_2025,0.20863268524408343,Moderate_Growth,0.7,0.2655325084924698
external environmental reporting,1,0.75,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.34767088,0.34767088,0.16772296,0.16667998,0.17994793,MCK02,WEF02,WEF_FutureOfJobs_2025,0.2086025297641754,Moderate_Growth,0.7,0.24336961805820465
policy-driven automation,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.4108451,0.4108451,0.3463202,0.30156577,0.06452489,WEF07,WEF01,McKinsey_FutureOfWork_2025,0.2054225504398346,Moderate_Growth,0.7,0.2875915706157684
engineering culture,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.37185347,0.37185347,0.29472476,0.29151624,0.07712871,DEC02,ESCO02,ONET_BrightOutlook_2024,0.20451940894126894,Moderate_Growth,0.7,0.260297429561615
Architectural Technology,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.37012464,0.37012464,0.27908576,0.2747649,0.09103888,ONET06,DEC02,ONET_BrightOutlook_2024,0.20356855094432832,Moderate_Growth,0.7,0.25908724665641786
Business Intelligence (BI),1,0.75,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.40520456,0.40520456,0.38751414,0.32659993,0.01769042,WEF02,ONET02,ESCO_v1.2_2024,0.20260228216648102,Moderate_Growth,0.7,0.2836431950330734
volunteer management lifecycle,1,0.75,MCK03,Leadership & People Development,Moderate_Growth,0.55,0.36673808,0.36673808,0.33879453,0.24043538,0.027943552,MCK05,ESCO01,McKinsey_FutureOfWork_2025,0.20170594453811647,Moderate_Growth,0.7,0.2567166566848755
servers,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.40120858,0.40120858,0.36325365,0.28811482,0.037954926,WEF04,ONET06,ONET_BrightOutlook_2024,0.20060428977012634,Moderate_Growth,0.7,0.28084600567817686
administrative processes,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39864397,0.39864397,0.3796787,0.28365687,0.018965274,MCK01,DEC01,ONET_BrightOutlook_2024,0.19932198524475098,Moderate_Growth,0.7,0.2790507793426513
project governance,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.36051643,0.36051643,0.30423436,0.2700221,0.056282073,MCK02,MCK03,ESCO_v1.2_2024,0.1982840359210968,Moderate_Growth,0.7,0.2523615002632141
United Nations Sustainable Development Goals,1,0.75,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.3304282,0.3304282,0.2441122,0.22643438,0.08631602,MCK03,MCK05,WEF_FutureOfJobs_2025,0.19825692772865294,Moderate_Growth,0.7,0.23129974901676176
entertainment,1,0.75,ONET04,Game Development & Interactive Media,Moderate_Growth,0.6,0.3296853,0.3296853,0.21316665,0.20409495,0.11651865,ONET02,MCK02,ONET_BrightOutlook_2024,0.19781118035316467,Moderate_Growth,0.7,0.23077971041202544
data stores,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.39546704,0.39546704,0.3336345,0.3074497,0.061832547,WEF02,DEC01,ONET_BrightOutlook_2024,0.19773352146148682,Moderate_Growth,0.7,0.2768269300460815
Engineering,2,0.75,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.39488435,0.39488435,0.37899226,0.3590036,0.015892088,ONET03,ONET01,ESCO_v1.2_2024,0.1974421739578247,Moderate_Growth,0.7,0.2764190435409546
Security Testing Orchestration,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.35874712,0.35874712,0.3045394,0.21134289,0.054207712,WEF03,ONET01,ONET_BrightOutlook_2024,0.19731091856956484,Moderate_Growth,0.7,0.2511229872703552
Planning and Change Management processes,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.35779426,0.35779426,0.27940536,0.27525222,0.0783889,ONET02,MCK03,ESCO_v1.2_2024,0.19678684026002885,Moderate_Growth,0.7,0.25045597851276397
environmental best practices,1,0.75,WEF06,Environmental & Sustainability Technology,Moderate_Growth,0.6,0.3278184,0.3278184,0.22814783,0.1866421,0.09967056,DEC03,DEC02,WEF_FutureOfJobs_2025,0.19669103622436523,Moderate_Growth,0.7,0.22947287559509275
interfaces,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35708255,0.35708255,0.22988245,0.22262938,0.1272001,WEF07,ONET04,ONET_BrightOutlook_2024,0.19639540016651155,Moderate_Growth,0.7,0.24995778203010557
partner technologies,1,0.75,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.49032456,0.49032456,0.35003263,0.31273407,0.14029193,WEF05,ONET03,McKinsey_FutureOfWork_2025,0.1961298227310181,Stable,0.4,0.1961298227310181
building management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.35553318,0.35553318,0.2622294,0.23733252,0.09330377,MCK03,MCK02,ESCO_v1.2_2024,0.19554325044155121,Moderate_Growth,0.7,0.24887322783470153
portfolio management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.35396898,0.35396898,0.26186392,0.24433109,0.09210506,ONET02,MCK05,ESCO_v1.2_2024,0.1946829378604889,Moderate_Growth,0.7,0.24777828454971312
Information Science,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.38813585,0.38813585,0.37080997,0.34525734,0.017325878,WEF02,WEF05,ONET_BrightOutlook_2024,0.19406792521476746,Moderate_Growth,0.7,0.2716950953006744
user experience,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3523725,0.3523725,0.2593722,0.23673052,0.09300029,DEC02,DEC03,ONET_BrightOutlook_2024,0.19380487352609635,Moderate_Growth,0.7,0.24666074812412261
production software,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3871046,0.3871046,0.37361878,0.36189327,0.013485819,DEC03,MCK02,ONET_BrightOutlook_2024,0.19355230033397675,Moderate_Growth,0.7,0.27097322046756744
CI/CD tools,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.35073763,0.35073763,0.28577155,0.28330103,0.06496608,ONET03,MCK02,ONET_BrightOutlook_2024,0.19290569722652437,Moderate_Growth,0.7,0.24551634192466734
CAD systems,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.35029116,0.35029116,0.25721666,0.23860046,0.0930745,MCK01,MCK02,ONET_BrightOutlook_2024,0.19266013950109484,Moderate_Growth,0.7,0.2452038139104843
Interaction Design,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.349523,0.349523,0.27946597,0.22041902,0.070057034,MCK02,ONET04,ONET_BrightOutlook_2024,0.19223765432834627,Moderate_Growth,0.7,0.2446661055088043
QA platform,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.34767652,0.34767652,0.304667,0.28874683,0.04300952,ONET02,WEF05,ONET_BrightOutlook_2024,0.191222083568573,Moderate_Growth,0.7,0.24337356090545653
design excellence,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.34500152,0.34500152,0.29034555,0.25122485,0.05465597,DEC02,MCK02,ONET_BrightOutlook_2024,0.1897508352994919,Moderate_Growth,0.7,0.24150106310844419
customer-facing projects,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.34488744,0.34488744,0.33612734,0.32908443,0.008760095,DEC03,MCK02,ESCO_v1.2_2024,0.18968808948993685,Moderate_Growth,0.7,0.24142120480537413
stakeholder management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.3447222,0.3447222,0.33987415,0.21855626,0.004848063,MCK02,ONET06,ESCO_v1.2_2024,0.18959721624851228,Moderate_Growth,0.7,0.24130554795265197
home automation,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.37738958,0.37738958,0.28674462,0.2312708,0.090644956,WEF07,DEC03,McKinsey_FutureOfWork_2025,0.1886947900056839,Moderate_Growth,0.7,0.26417270600795745
financial services environments,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.37688705,0.37688705,0.35931605,0.29425755,0.017571002,ONET06,ESCO02,ONET_BrightOutlook_2024,0.18844352662563324,Moderate_Growth,0.7,0.2638209372758865
Product Management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.3424998,0.3424998,0.2940154,0.27748057,0.048484385,ONET02,ESCO02,ESCO_v1.2_2024,0.18837488591670992,Moderate_Growth,0.7,0.2397498548030853
Azure Test Plans,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.34101894,0.34101894,0.19683704,0.15831679,0.1441819,ESCO01,WEF04,ONET_BrightOutlook_2024,0.1875604197382927,Moderate_Growth,0.7,0.23871326148509978
endpoint management platform,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.37492687,0.37492687,0.3340391,0.30622873,0.040887773,WEF04,WEF05,ONET_BrightOutlook_2024,0.1874634325504303,Moderate_Growth,0.7,0.2624488055706024
large enterprise environment,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.37389523,0.37389523,0.3690829,0.30358732,0.00481233,WEF04,MCK02,ONET_BrightOutlook_2024,0.18694761395454407,Moderate_Growth,0.7,0.2617266595363617
Research and Engineering,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3387407,0.3387407,0.3386882,0.30348986,5.2511692e-05,ESCO02,MCK02,ONET_BrightOutlook_2024,0.18630738854408266,Moderate_Growth,0.7,0.23711849451065062
data system,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.37164465,0.37164465,0.33360285,0.32538775,0.0380418,ONET06,WEF02,ONET_BrightOutlook_2024,0.18582232296466827,Moderate_Growth,0.7,0.2601512521505356
data libraries,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.36920142,0.36920142,0.36044624,0.3003942,0.008755177,WEF02,DEC01,ONET_BrightOutlook_2024,0.18460071086883545,Moderate_Growth,0.7,0.2584409952163696
architectural patterns,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.33546564,0.33546564,0.32904112,0.29176083,0.0064245164,DEC03,ONET02,ONET_BrightOutlook_2024,0.1845061019062996,Moderate_Growth,0.7,0.23482594788074493
industry standards,1,0.75,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.36801338,0.36801338,0.29280084,0.289302,0.07521254,ONET03,MCK02,ESCO_v1.2_2024,0.1840066909790039,Moderate_Growth,0.7,0.25760936737060547
manufacturing services processes,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.36651573,0.36651573,0.30974486,0.24724326,0.05677086,ESCO02,ONET02,McKinsey_FutureOfWork_2025,0.18325786292552948,Moderate_Growth,0.7,0.2565610080957413
ToffeeX engineering design platform,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.33153355,0.33153355,0.25743848,0.1925866,0.07409507,DEC02,ESCO02,ONET_BrightOutlook_2024,0.18234345316886905,Moderate_Growth,0.7,0.23207348585128781
distributed data stores,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.36277902,0.36277902,0.31834292,0.2617808,0.044436097,ONET06,WEF02,ONET_BrightOutlook_2024,0.18138951063156128,Moderate_Growth,0.7,0.25394531488418576
architecture,4,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3289063,0.3289063,0.27063024,0.25600004,0.058276057,DEC02,ONET06,ONET_BrightOutlook_2024,0.1808984637260437,Moderate_Growth,0.7,0.23023440837860107
product development,1,0.75,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.361291,0.361291,0.32320657,0.3018095,0.038084418,MCK02,ONET03,ESCO_v1.2_2024,0.18064549565315247,Moderate_Growth,0.7,0.2529036939144134
product design,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.32694197,0.32694197,0.25949833,0.25803238,0.06744364,DEC02,ESCO02,ONET_BrightOutlook_2024,0.17981808185577394,Moderate_Growth,0.7,0.22885937690734862
digital tools,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.32693923,0.32693923,0.31870908,0.30135122,0.00823015,WEF08,MCK01,ONET_BrightOutlook_2024,0.17981657385826114,Moderate_Growth,0.7,0.22885745763778684
distributed collaboration,1,0.75,MCK02,Advanced Communication & Collaboration,Moderate_Growth,0.4,0.44882303,0.44882303,0.3394394,0.3177451,0.10938364,WEF07,ONET06,McKinsey_FutureOfWork_2025,0.1795292139053345,Stable,0.4,0.1795292139053345
production staff,1,0.75,MCK03,Leadership & People Development,Moderate_Growth,0.55,0.32629472,0.32629472,0.29948127,0.24197578,0.026813447,MCK02,ONET02,McKinsey_FutureOfWork_2025,0.17946209609508515,Moderate_Growth,0.7,0.22840630412101745
Epic Interface Engine,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.32585377,0.32585377,0.22940049,0.22549886,0.09645328,MCK02,WEF07,ONET_BrightOutlook_2024,0.17921957075595857,Moderate_Growth,0.7,0.2280976355075836
backend services,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.35776532,0.35776532,0.2952661,0.24648526,0.062499225,WEF04,ONET06,ONET_BrightOutlook_2024,0.1788826584815979,Moderate_Growth,0.7,0.25043572187423707
industrial processes,1,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.35755926,0.35755926,0.2467259,0.22184163,0.11083336,ESCO02,ONET03,McKinsey_FutureOfWork_2025,0.17877963185310364,Moderate_Growth,0.7,0.2502914845943451
NoSQL data stores,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3572327,0.3572327,0.22778544,0.17229095,0.12944725,WEF02,ONET06,ONET_BrightOutlook_2024,0.17861634492874146,Moderate_Growth,0.7,0.25006288290023804
change management,2,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.32319754,0.32319754,0.27954078,0.27305418,0.043656766,MCK03,MCK05,ESCO_v1.2_2024,0.1777586489915848,Moderate_Growth,0.7,0.22623828053474423
Data Center,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.35528722,0.35528722,0.34392363,0.31993696,0.011363596,WEF02,WEF04,ONET_BrightOutlook_2024,0.17764361202716827,Moderate_Growth,0.7,0.24870105683803556
online program administration,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.35427183,0.35427183,0.3314982,0.26823848,0.022773623,WEF05,MCK02,ONET_BrightOutlook_2024,0.1771359145641327,Moderate_Growth,0.7,0.24799028038978574
operational concepts of the internet,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.35322493,0.35322493,0.34152815,0.32621482,0.011696786,ONET02,WEF05,ONET_BrightOutlook_2024,0.1766124665737152,Moderate_Growth,0.7,0.24725745320320128
Robotics,2,0.75,MCK01,Process Automation & RPA,Moderate_Growth,0.5,0.3527445,0.3527445,0.3278888,0.32036504,0.024855703,WEF01,WEF07,McKinsey_FutureOfWork_2025,0.1763722449541092,Moderate_Growth,0.7,0.24692114293575285
large-scale systems,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.35225174,0.35225174,0.28837913,0.25061145,0.063872606,WEF04,ONET02,ONET_BrightOutlook_2024,0.17612586915493011,Moderate_Growth,0.7,0.24657621681690214
admin-focused tooling,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.35042295,0.35042295,0.3244673,0.31782597,0.025955647,MCK02,MCK01,ONET_BrightOutlook_2024,0.17521147429943085,Moderate_Growth,0.7,0.24529606401920317
Organisational Change Management (OCM),1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.31856108,0.31856108,0.21463613,0.21445161,0.103924945,MCK03,ONET02,ESCO_v1.2_2024,0.17520859241485598,Moderate_Growth,0.7,0.22299275398254392
production systems,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.3500436,0.3500436,0.30813336,0.2934876,0.04191023,ONET06,WEF04,ONET_BrightOutlook_2024,0.17502179741859436,Moderate_Growth,0.7,0.2450305163860321
financial institutions,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.34947872,0.34947872,0.2700312,0.26801968,0.07944751,ONET02,WEF05,ONET_BrightOutlook_2024,0.17473936080932617,Moderate_Growth,0.7,0.2446351051330566
engineers,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.31710762,0.31710762,0.30989057,0.30172902,0.0072170496,ESCO02,ONET01,ONET_BrightOutlook_2024,0.17440918982028963,Moderate_Growth,0.7,0.2219753324985504
monetization,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.34699672,0.34699672,0.2713502,0.17216189,0.07564652,WEF05,ONET02,ONET_BrightOutlook_2024,0.17349836230278015,Moderate_Growth,0.7,0.2428977072238922
integration engines,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.34585106,0.34585106,0.32109213,0.30442563,0.024758935,WEF01,MCK01,ONET_BrightOutlook_2024,0.17292553186416626,Moderate_Growth,0.7,0.24209574460983274
monetization ecosystem,1,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.34575635,0.34575635,0.2856636,0.19239178,0.060092747,WEF05,WEF04,ONET_BrightOutlook_2024,0.1728781759738922,Moderate_Growth,0.7,0.24202944636344909
Electrical Engineering,2,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.31422752,0.31422752,0.28238338,0.2604264,0.03184414,ESCO02,MCK02,ONET_BrightOutlook_2024,0.17282513678073885,Moderate_Growth,0.7,0.21995926499366758
IT Change Management,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.31167126,0.31167126,0.27547318,0.2636927,0.03619808,ONET02,MCK03,ESCO_v1.2_2024,0.17141919136047365,Moderate_Growth,0.7,0.21816987991333006
Kanban,1,0.75,ESCO01,Project Management & Agile Methodologies,Moderate_Growth,0.55,0.3112008,0.3112008,0.21084815,0.17919132,0.100352645,MCK02,MCK03,ESCO_v1.2_2024,0.17116043865680697,Moderate_Growth,0.7,0.21784055829048155
Financial Services,2,0.75,ONET06,Blockchain & Distributed Systems,Moderate_Growth,0.5,0.34110734,0.34110734,0.3279652,0.28419378,0.013142139,ONET02,WEF05,ONET_BrightOutlook_2024,0.17055366933345795,Moderate_Growth,0.7,0.23877513706684111
data architecture,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.34072253,0.34072253,0.29630107,0.26567966,0.044421464,WEF02,DEC01,ONET_BrightOutlook_2024,0.17036126554012299,Moderate_Growth,0.7,0.23850577175617216
scientific ontologies,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.34036428,0.34036428,0.2501673,0.24440598,0.09019697,WEF02,ONET06,ONET_BrightOutlook_2024,0.17018213868141174,Moderate_Growth,0.7,0.2382549941539764
taxonomies,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.34010664,0.34010664,0.27669305,0.2537191,0.06341359,ONET06,ONET03,ONET_BrightOutlook_2024,0.17005331814289093,Moderate_Growth,0.7,0.23807464540004727
user-facing experiences,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3086472,0.3086472,0.27943307,0.24615654,0.029214114,DEC02,DEC03,ONET_BrightOutlook_2024,0.16975595206022265,Moderate_Growth,0.7,0.21605302989482877
CAD,1,0.75,ONET03,UX/UI & Digital Design,Moderate_Growth,0.55,0.3075319,0.3075319,0.2551662,0.21478501,0.05236569,MCK02,DEC03,ONET_BrightOutlook_2024,0.16914254128932954,Moderate_Growth,0.7,0.21527232527732848
assurance,1,0.75,ONET05,Quality Assurance & Testing,Moderate_Growth,0.55,0.30661437,0.30661437,0.22417422,0.20138949,0.08244015,MCK05,ONET02,ONET_BrightOutlook_2024,0.16863790303468706,Moderate_Growth,0.7,0.21463005840778349
hardware engineering,1,0.75,ESCO02,Business Analysis & Requirements Engineering,Moderate_Growth,0.5,0.33725756,0.33725756,0.33585274,0.28999853,0.0014048219,ONET03,ONET02,ESCO_v1.2_2024,0.1686287820339203,Moderate_Growth,0.7,0.23608029484748838
package managers,1,0.75,ONET02,Database & Systems Administration,Moderate_Growth,0.5,0.33690542,0.33690542,0.29426813,0.27383405,0.04263729,DEC03,ESCO01,ONET_BrightOutlook_2024,0.16845270991325378,Moderate_Growth,0.7,0.23583379387855527
