"Sektor","Indonesian Title","English Translation","Indonesian Description","English Description","Source Type"
"Pariwisata dan Perhotelan","Skema Okupasi Pemandu Ekowisata Muda","Junior Ecotourism Guide","Skema sertifikasi okupasi Pemandu Ekowisata Muda dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Pramuwisata Alam. Mencakup kompetensi memandu wisatawan di kawasan alam, memberikan interpretasi lingkungan, dan memastikan keselamatan wisatawan selama perjalanan ekowisata.","The Junior Ecotourism Guide occupational certification scheme references the Tourism SKKNI – Nature Tour Guide Sub-field. It covers guiding tourists in natural areas, providing environmental interpretation, and ensuring tourist safety during ecotourism tours competencies.","Template-based / SKKNI Kepariwisataan"
"Pariwisata dan Perhotelan","Skema Okupasi Pemandu Arung Jeram","Rafting Guide","Skema sertifikasi okupasi Pemandu Arung Jeram dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Arung Jeram. Mencakup kompetensi penguasaan teknik arung jeram, keselamatan di sungai, pertolongan pertama di air, dan pemanduan wisatawan di jalur arung jeram.","The Rafting Guide occupational certification scheme references the Tourism SKKNI – Rafting Sub-field. It covers rafting techniques, river safety, water first aid, and guiding tourists on rafting routes competencies.","Template-based / SKKNI Kepariwisataan"
"Pariwisata dan Perhotelan","Skema Okupasi Konsultan Perencanaan Pemasaran Pariwisata","Tourism Marketing Planning Consultant","Skema sertifikasi okupasi Konsultan Perencanaan Pemasaran Pariwisata dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Pemasaran Pariwisata. Mencakup kompetensi analisis pasar pariwisata, perancangan strategi pemasaran destinasi, dan perencanaan promosi pariwisata.","The Tourism Marketing Planning Consultant occupational certification scheme references the Tourism SKKNI – Tourism Marketing Sub-field. It covers tourism market analysis, destination marketing strategy design, and tourism promotion planning competencies.","Template-based / SKKNI Kepariwisataan"
"Pariwisata dan Perhotelan","Skema Okupasi Spa Therapist Junior","Junior Spa Therapist","Skema sertifikasi okupasi Spa Therapist Junior dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Spa. Mencakup kompetensi teknik pijat dasar, perawatan tubuh, pelayanan tamu spa, dan pemeliharaan kebersihan area spa.","The Junior Spa Therapist occupational certification scheme references the Tourism SKKNI – Spa Sub-field. It covers basic massage techniques, body care treatments, spa guest service, and spa area hygiene maintenance competencies.","Template-based / SKKNI Kepariwisataan"
"Pariwisata dan Perhotelan","Skema Okupasi Usaha Perjalanan Wisata","Travel Agency Operations","Skema sertifikasi okupasi Usaha Perjalanan Wisata dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Perjalanan Wisata. Mencakup kompetensi perancangan paket wisata, reservasi penerbangan dan akomodasi, pengelolaan dokumen perjalanan, dan pelayanan wisatawan.","The Travel Agency Operations occupational certification scheme references the Tourism SKKNI – Travel Agency Sub-field. It covers tour package design, flight and accommodation reservations, travel document management, and tourist service competencies.","Template-based / SKKNI Kepariwisataan"
"Pariwisata dan Perhotelan","Skema Okupasi Wisata Bahari dan Ekowisata","Marine Tourism & Ecotourism","Skema sertifikasi okupasi Wisata Bahari dan Ekowisata dikembangkan oleh Komite Skema LSP Pariwisata mengacu pada SKKNI Bidang Kepariwisataan Sub-bidang Wisata Bahari dan Ekowisata. Mencakup kompetensi pengelolaan wisata bahari, keselamatan di laut, interpretasi ekosistem laut, dan pemanduan wisatawan di kawasan bahari dan ekowisata.","The Marine Tourism & Ecotourism occupational certification scheme references the Tourism SKKNI – Marine Tourism & Ecotourism Sub-field. It covers marine tourism management, sea safety, marine ecosystem interpretation, and guiding tourists in marine and ecotourism areas competencies.","Template-based / SKKNI Kepariwisataan"
"Konstruksi","Skema Okupasi Ahli Muda Perawatan Bangunan Gedung","Junior Building Maintenance Expert","Skema sertifikasi okupasi Ahli Muda Perawatan Bangunan Gedung dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI berdasarkan Peraturan Menteri Pekerjaan Umum dan Perumahan Rakyat tentang Bangunan Gedung dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi inspeksi, diagnosa permasalahan, dan pelaksanaan pemeliharaan bangunan gedung pada tingkat ahli muda (KKNI Level 7).","The Junior Building Maintenance Expert occupational certification scheme references the Ministry of Public Works regulations on buildings and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers building inspection, problem diagnosis, and building maintenance implementation competencies at the junior expert level (KKNI Level 7).","Template-based / SK Dirjen Bina Konstruksi 33/2023"
"Konstruksi","Skema Okupasi Ahli Madya Perawatan Bangunan Gedung","Middle Building Maintenance Expert","Skema sertifikasi okupasi Ahli Madya Perawatan Bangunan Gedung mengacu pada SKKNI Bidang Bangunan Gedung dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi pengelolaan program pemeliharaan bangunan, evaluasi kondisi bangunan, dan supervisi pekerjaan pemeliharaan pada tingkat ahli madya (KKNI Level 8).","The Middle Building Maintenance Expert scheme references the building field SKKNI and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers building maintenance program management, building condition evaluation, and maintenance work supervision at the middle expert level (KKNI Level 8).","Template-based / SK Dirjen Bina Konstruksi 33/2023"
"Konstruksi","Skema Okupasi Ahli Utama Perawatan Bangunan Gedung","Senior Building Maintenance Expert","Skema sertifikasi okupasi Ahli Utama Perawatan Bangunan Gedung mengacu pada SKKNI Bidang Bangunan Gedung dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi penyusunan kebijakan pemeliharaan bangunan, koordinasi multi-disiplin, dan konsultasi teknis pemeliharaan bangunan gedung pada tingkat ahli utama (KKNI Level 9).","The Senior Building Maintenance Expert scheme references the building field SKKNI and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers building maintenance policy development, multi-discipline coordination, and building maintenance technical consultation at the senior expert level (KKNI Level 9).","Template-based / SK Dirjen Bina Konstruksi 33/2023"
"Konstruksi","Skema Okupasi Ahli Muda Perencana Beton","Junior Concrete Planning Expert","Skema sertifikasi okupasi Ahli Muda Perencana Beton dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Teknik Beton dan Struktur. Mencakup kompetensi perancangan struktur beton bertulang, analisis beban, pembuatan gambar struktur, dan penyusunan spesifikasi teknis beton.","The Junior Concrete Planning Expert occupational certification scheme references the SKKNI Concrete and Structural Engineering Field. It covers reinforced concrete structural design, load analysis, structural drawing preparation, and concrete technical specifications drafting competencies.","Template-based / SKKNI Beton"
"Konstruksi","Skema Okupasi Ahli Madya Perencana Beton","Middle Concrete Planning Expert","Skema sertifikasi okupasi Ahli Madya Perencana Beton mengacu pada SKKNI Bidang Teknik Beton dan Struktur. Mencakup kompetensi perancangan struktur beton tingkat menengah, analisis dinamik, desain pondasi dalam, dan evaluasi struktur beton yang ada.","The Middle Concrete Planning Expert scheme references the SKKNI Concrete and Structural Engineering Field. It covers intermediate-level concrete structural design, dynamic analysis, deep foundation design, and existing concrete structure evaluation competencies.","Template-based / SKKNI Beton"
"Konstruksi","Skema Okupasi Ahli Utama Perencana Beton","Senior Concrete Planning Expert","Skema sertifikasi okupasi Ahli Utama Perencana Beton mengacu pada SKKNI Bidang Teknik Beton dan Struktur. Mencakup kompetensi perancangan struktur beton kompleks, inovasi teknologi beton, dan konsultasi teknis pada proyek berskala besar.","The Senior Concrete Planning Expert scheme references the SKKNI Concrete and Structural Engineering Field. It covers complex concrete structural design, concrete technology innovation, and technical consultation on large-scale projects competencies.","Template-based / SKKNI Beton"
"Konstruksi","Skema Okupasi Ahli Muda Manajemen Proyek Konstruksi","Junior Construction Project Management Expert","Skema sertifikasi okupasi Ahli Muda Manajemen Proyek Konstruksi dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Manajemen Proyek Konstruksi. Mencakup kompetensi perencanaan proyek, penjadwalan, pengendalian biaya, manajemen mutu, dan keselamatan proyek konstruksi pada tingkat ahli muda.","The Junior Construction Project Management Expert scheme references the SKKNI Construction Project Management Field. It covers project planning, scheduling, cost control, quality management, and construction project safety competencies at the junior expert level.","Template-based / SKKNI Manajemen Proyek Konstruksi"
"Konstruksi","Skema Okupasi Ahli Madya Manajemen Proyek Konstruksi","Middle Construction Project Management Expert","Skema sertifikasi okupasi Ahli Madya Manajemen Proyek Konstruksi mengacu pada SKKNI Bidang Manajemen Proyek Konstruksi. Mencakup kompetensi manajemen proyek multi-kontrak, klaim konstruksi, manajemen risiko, dan koordinasi pemangku kepentingan proyek pada tingkat madya.","The Middle Construction Project Management Expert scheme references the SKKNI Construction Project Management Field. It covers multi-contract project management, construction claims, risk management, and project stakeholder coordination at the middle expert level.","Template-based / SKKNI Manajemen Proyek Konstruksi"
"Konstruksi","Skema Okupasi Ahli Utama Manajemen Proyek Konstruksi","Senior Construction Project Management Expert","Skema sertifikasi okupasi Ahli Utama Manajemen Proyek Konstruksi mengacu pada SKKNI Bidang Manajemen Proyek Konstruksi. Mencakup kompetensi kepemimpinan program konstruksi berskala besar, strategi manajemen portofolio proyek, dan pengembangan metodologi manajemen proyek konstruksi.","The Senior Construction Project Management Expert scheme references the SKKNI Construction Project Management Field. It covers leadership of large-scale construction programs, project portfolio management strategy, and construction project management methodology development competencies.","Template-based / SKKNI Manajemen Proyek Konstruksi"
"Konstruksi","Skema Okupasi Ahli Muda K3 Konstruksi","Junior Construction Safety Expert","Skema sertifikasi okupasi Ahli Muda Keselamatan Konstruksi merupakan skema sertifikasi okupasi yang dikembangkan oleh Komite Skema Sertifikasi LSP K3 Konstruksi. Kemasan kompetensi yang digunakan mengacu pada Kepmenaker RI Nomor 60 Tahun 2022 tentang Penetapan SKKNI Kategori Aktivitas Profesional, Ilmiah Dan Teknis Golongan Pokok Aktivitas Arsitektur Dan Keinsinyuran; Analisis Dan Uji Teknis Pada Jabatan Kerja Ahli Keselamatan Konstruksi, SK Dirjen Bina Konstruksi Kementerian PUPR Nomor 12.1/KPTS/Dk/2022 dan SE LPJK Nomor 07/SE/LPJK/2022.","The Junior Construction Safety Expert occupational certification scheme was developed by the Scheme Committee of LSP K3 Konstruksi, referencing Kepmenaker No. 60 of 2022 (Construction Safety Expert SKKNI), SK Dirjen Bina Konstruksi No. 12.1/KPTS/Dk/2022, and SE LPJK No. 07/SE/LPJK/2022.","Verbatim (lspk3konstruksi.id)"
"Konstruksi","Skema Okupasi Ahli Madya Keselamatan Konstruksi","Middle Construction Safety Expert","Skema sertifikasi okupasi Ahli Madya Keselamatan Konstruksi dikembangkan oleh LSP K3 Konstruksi mengacu pada Kepmenaker RI Nomor 60 Tahun 2022 Bidang Ahli Keselamatan Konstruksi, SK Dirjen Bina Konstruksi No. 12.1/KPTS/Dk/2022, dan SE LPJK No. 07/SE/LPJK/2022. Mencakup kompetensi supervisi dan pengawasan sistem manajemen keselamatan konstruksi pada tingkat menengah.","The Middle Construction Safety Expert scheme by LSP K3 Konstruksi references Kepmenaker No. 60 of 2022 and related ministerial decrees. It covers mid-level construction safety management system supervision competencies.","Verbatim-based (lspk3konstruksi.id)"
"Konstruksi","Skema Okupasi Ahli Utama Keselamatan Konstruksi","Senior Construction Safety Expert","Skema sertifikasi okupasi Ahli Utama Keselamatan Konstruksi dikembangkan oleh LSP K3 Konstruksi mengacu pada Kepmenaker RI Nomor 60 Tahun 2022, SK Dirjen Bina Konstruksi No. 12.1/KPTS/Dk/2022, dan SE LPJK No. 07/SE/LPJK/2022. Mencakup kompetensi pengembangan kebijakan keselamatan konstruksi, audit sistem manajemen keselamatan, dan konsultasi keselamatan konstruksi pada tingkat utama.","The Senior Construction Safety Expert scheme by LSP K3 Konstruksi references Kepmenaker No. 60 of 2022 and related decrees. It covers construction safety policy development, safety management system auditing, and construction safety consultation at the senior expert level.","Template-based / Kepmenaker 60/2022"
"Konstruksi","Skema Okupasi Manajer Lapangan Pekerjaan Gedung","Building Works Field Manager","Skema sertifikasi okupasi Manajer Lapangan Pekerjaan Gedung dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI No. 192 Tahun 2016 Bidang Bangunan Gedung. Mencakup kompetensi memimpin pelaksanaan pekerjaan konstruksi gedung di lapangan, mengelola sumber daya, memastikan mutu dan keselamatan pekerjaan.","The Building Works Field Manager scheme references SKKNI No. 192 of 2016 (Building Field). It covers leading building construction work execution on-site, managing resources, and ensuring work quality and safety competencies.","Template-based / SKKNI 192/2016"
"Konstruksi","Skema Okupasi Manajer Teknik Pelaksana Bangunan Gedung","Building Technical Implementation Manager","Skema sertifikasi okupasi Manajer Teknik Pelaksana Bangunan Gedung dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI No. 192 Tahun 2016 Bidang Bangunan Gedung. Mencakup kompetensi pengelolaan teknis pelaksanaan konstruksi gedung, koordinasi sub-kontraktor, dan pengendalian mutu teknis.","The Building Technical Implementation Manager scheme references SKKNI No. 192 of 2016 (Building Field). It covers managing the technical execution of building construction, sub-contractor coordination, and technical quality control competencies.","Template-based / SKKNI 192/2016"
"Konstruksi","Skema Okupasi Pengawas Lapangan Pekerjaan Jalan","Road Works Field Supervisor","Skema sertifikasi okupasi Pengawas Lapangan Pekerjaan Jalan dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI No. 126 Tahun 2021 Bidang Jalan. Mencakup kompetensi pengawasan pelaksanaan konstruksi jalan, pengendalian mutu material, dan pelaporan kemajuan pekerjaan jalan.","The Road Works Field Supervisor scheme references SKKNI No. 126 of 2021 (Road Works Field). It covers supervising road construction implementation, material quality control, and road works progress reporting competencies.","Template-based / SKKNI 126/2021"
"Konstruksi","Skema Okupasi Pengawas Lapangan Pekerjaan Jembatan","Bridge Works Field Supervisor","Skema sertifikasi okupasi Pengawas Lapangan Pekerjaan Jembatan dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI No. 84 Tahun 2021 Bidang Jembatan. Mencakup kompetensi pengawasan pelaksanaan konstruksi jembatan, pengendalian mutu elemen jembatan, dan pelaporan kemajuan pekerjaan.","The Bridge Works Field Supervisor scheme references SKKNI No. 84 of 2021 (Bridge Works Field). It covers supervising bridge construction implementation, bridge element quality control, and progress reporting competencies.","Template-based / SKKNI 84/2021"
"Konstruksi","Skema Okupasi Ahli Muda Geoteknik","Junior Geotechnical Expert","Skema sertifikasi okupasi Ahli Muda Geoteknik dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Geoteknik dan SKKNI Sumber Daya Air No. 124 Tahun 2021. Mencakup kompetensi investigasi geoteknik, analisis stabilitas lereng, dan perancangan pondasi dasar.","The Junior Geotechnical Expert scheme references the SKKNI Geotechnical Field and SKKNI Water Resources No. 124 of 2021. It covers geotechnical investigation, slope stability analysis, and basic foundation design competencies.","Template-based / SKKNI Geoteknik"
"Konstruksi","Skema Okupasi Ahli Madya Geoteknik","Middle Geotechnical Expert","Skema sertifikasi okupasi Ahli Madya Geoteknik mengacu pada SKKNI Bidang Geoteknik dan SKKNI Sumber Daya Air No. 124 Tahun 2021. Mencakup kompetensi pengelolaan investigasi geoteknik kompleks, perancangan perkuatan lereng, dan analisis penurunan pondasi.","The Middle Geotechnical Expert scheme references the SKKNI Geotechnical Field and SKKNI Water Resources No. 124 of 2021. It covers complex geotechnical investigation management, slope reinforcement design, and foundation settlement analysis competencies.","Template-based / SKKNI Geoteknik"
"Konstruksi","Skema Okupasi Ahli Muda Hidrologi","Junior Hydrology Expert","Skema sertifikasi okupasi Ahli Muda Hidrologi dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021 Bidang Hidrologi. Mencakup kompetensi analisis data hidrologi, perhitungan debit banjir, dan perencanaan sistem drainase dasar.","The Junior Hydrology Expert scheme references SKKNI Water Resources No. 124 of 2021 (Hydrology Field). It covers hydrological data analysis, flood discharge calculation, and basic drainage system planning competencies.","Template-based / SKKNI 124/2021"
"Konstruksi","Skema Okupasi Ahli Madya Hidrologi","Middle Hydrology Expert","Skema sertifikasi okupasi Ahli Madya Hidrologi mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021 Bidang Hidrologi. Mencakup kompetensi pemodelan hidrologi, analisis banjir kompleks, dan perancangan sistem pengelolaan air hujan.","The Middle Hydrology Expert scheme references SKKNI Water Resources No. 124 of 2021 (Hydrology Field). It covers hydrological modeling, complex flood analysis, and stormwater management system design competencies.","Template-based / SKKNI 124/2021"
"Konstruksi","Skema Okupasi Ahli Muda Bendungan Besar","Junior Large Dam Expert","Skema sertifikasi okupasi Ahli Muda Bendungan Besar dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021 Bidang Bendungan Besar. Mencakup kompetensi investigasi lokasi bendungan, analisis stabilitas bendungan, dan pengawasan konstruksi bendungan dasar.","The Junior Large Dam Expert scheme references SKKNI Water Resources No. 124 of 2021 (Large Dam Field). It covers dam site investigation, dam stability analysis, and basic dam construction supervision competencies.","Template-based / SKKNI 124/2021"
"Konstruksi","Skema Okupasi Ahli Madya Bendungan Besar","Middle Large Dam Expert","Skema sertifikasi okupasi Ahli Madya Bendungan Besar mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021 Bidang Bendungan Besar. Mencakup kompetensi perancangan bendungan, manajemen keselamatan bendungan, dan operasi instrumentasi bendungan.","The Middle Large Dam Expert scheme references SKKNI Water Resources No. 124 of 2021 (Large Dam Field). It covers dam design, dam safety management, and dam instrumentation operation competencies.","Template-based / SKKNI 124/2021"
"Konstruksi","Skema Okupasi Ahli Muda Sistem Manajemen Mutu Konstruksi","Junior Construction Quality Management System Expert","Skema sertifikasi okupasi Ahli Muda Sistem Manajemen Mutu Konstruksi mengacu pada SKKNI Bidang Sistem Manajemen Mutu Konstruksi. Mencakup kompetensi penerapan ISO 9001 di proyek konstruksi, audit mutu internal, penyusunan prosedur mutu, dan pengendalian dokumen mutu.","The Junior Construction QMS Expert scheme references the SKKNI Construction Quality Management System Field. It covers ISO 9001 application in construction projects, internal quality audits, quality procedures drafting, and quality document control competencies.","Template-based / SKKNI SMM Konstruksi"
"Konstruksi","Skema Okupasi Ahli Madya Sistem Manajemen Mutu Konstruksi","Middle Construction Quality Management System Expert","Skema sertifikasi okupasi Ahli Madya Sistem Manajemen Mutu Konstruksi mengacu pada SKKNI Bidang Sistem Manajemen Mutu Konstruksi. Mencakup kompetensi pengembangan sistem manajemen mutu konstruksi, audit mutu eksternal, dan manajemen ketidaksesuaian proyek.","The Middle Construction QMS Expert scheme references the SKKNI Construction Quality Management System Field. It covers construction quality management system development, external quality audits, and project non-conformance management competencies.","Template-based / SKKNI SMM Konstruksi"
"Konstruksi","Skema Okupasi Ahli Muda Penilai Kelaikan Bangunan Gedung","Junior Building Fitness Assessor","Skema sertifikasi okupasi Ahli Muda Penilai Kelaikan Bangunan Gedung dikembangkan mengacu pada SKKNI Bidang Bangunan Gedung dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi inspeksi visual bangunan gedung, identifikasi kerusakan struktural dan non-struktural, serta penyusunan laporan kelaikan bangunan gedung.","The Junior Building Fitness Assessor scheme references the building SKKNI and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers building visual inspection, structural and non-structural damage identification, and building fitness assessment report preparation competencies.","Template-based / SKKNI Bangunan Gedung"
"Konstruksi","Skema Okupasi Ahli Madya Penilai Kelaikan Bangunan Gedung","Middle Building Fitness Assessor","Skema sertifikasi okupasi Ahli Madya Penilai Kelaikan Bangunan Gedung mengacu pada SKKNI Bidang Bangunan Gedung dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi penilaian kelaikan bangunan gedung kompleks, uji struktural, dan pemberian rekomendasi teknis perbaikan bangunan.","The Middle Building Fitness Assessor scheme references the building SKKNI and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers complex building fitness assessment, structural testing, and building repair technical recommendations competencies.","Template-based / SKKNI Bangunan Gedung"
"Konstruksi","Skema Okupasi Ahli Muda Building Information Modeling (BIM)","Junior BIM Expert","Skema sertifikasi okupasi Ahli Muda Building Information Modeling (BIM) dikembangkan mengacu pada SKKNI Bidang BIM dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi pembuatan model BIM, koordinasi multi-disiplin dalam platform BIM, dan pengelolaan informasi bangunan berbasis BIM.","The Junior BIM Expert scheme references the SKKNI BIM Field and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers BIM model creation, multi-discipline coordination within BIM platforms, and BIM-based building information management competencies.","Template-based / SKKNI BIM"
"Konstruksi","Skema Okupasi Ahli Madya Building Information Modeling (BIM)","Middle BIM Expert","Skema sertifikasi okupasi Ahli Madya BIM mengacu pada SKKNI Bidang BIM dan SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. Mencakup kompetensi pengembangan standar BIM proyek, manajemen lingkungan data umum (CDE), dan implementasi BIM untuk manajemen aset bangunan.","The Middle BIM Expert scheme references the SKKNI BIM Field and SK Dirjen Bina Konstruksi No. 33/KPTS/Dk/2023. It covers project BIM standard development, Common Data Environment (CDE) management, and BIM implementation for building asset management competencies.","Template-based / SKKNI BIM"
"Konstruksi","Skema Okupasi Tukang Pasang Bata","Bricklayer","Skema sertifikasi okupasi Tukang Pasang Bata dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Konstruksi Bangunan Gedung (Keterampilan KKNI Level 2). Mencakup kompetensi pemasangan bata merah dan batako sesuai gambar kerja, pencampuran adukan, dan pengecekan kelurusan pasangan bata.","The Bricklayer occupational certification scheme references the SKKNI Construction Field (Skill KKNI Level 2). It covers red brick and concrete block laying per working drawings, mortar mixing, and brickwork alignment checking competencies.","Template-based / SKKNI Konstruksi"
"Konstruksi","Skema Okupasi Tukang Plester","Plasterer","Skema sertifikasi okupasi Tukang Plester dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Konstruksi Bangunan Gedung (Keterampilan KKNI Level 2). Mencakup kompetensi pelaksanaan plesteran dinding dan lantai, penerapan campuran plester yang tepat, dan pembuatan permukaan yang rata.","The Plasterer occupational certification scheme references the SKKNI Construction Field (Skill KKNI Level 2). It covers wall and floor plastering, applying correct plaster mixtures, and creating level surface finish competencies.","Template-based / SKKNI Konstruksi"
"Konstruksi","Skema Okupasi Tukang Cor Beton","Concrete Caster","Skema sertifikasi okupasi Tukang Cor Beton dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Konstruksi Beton (Keterampilan KKNI Level 2). Mencakup kompetensi persiapan dan pelaksanaan pengecoran beton, pemadatan beton, dan perawatan (curing) beton pasca pengecoran.","The Concrete Caster occupational certification scheme references the SKKNI Concrete Construction Field (Skill KKNI Level 2). It covers concrete pouring preparation and execution, concrete compaction, and post-pouring concrete curing competencies.","Template-based / SKKNI Konstruksi"
"Konstruksi","Skema Okupasi Tukang Besi Beton","Steel Bar Setter","Skema sertifikasi okupasi Tukang Besi Beton dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Bidang Konstruksi Beton (Keterampilan KKNI Level 2). Mencakup kompetensi pembacaan gambar tulangan, pemotongan dan pembengkokan besi tulangan, perakitan rangka besi, dan pemasangan besi beton sesuai spesifikasi.","The Steel Bar Setter occupational certification scheme references the SKKNI Concrete Construction Field (Skill KKNI Level 2). It covers reading rebar drawings, cutting and bending reinforcement bars, assembling rebar cages, and placing reinforcement steel to specification competencies.","Template-based / SKKNI Konstruksi"
"Konstruksi","Skema Okupasi Pelaksana Pemeliharaan Jaringan Irigasi","Irrigation Network Maintenance Implementer","Skema sertifikasi okupasi Pelaksana Pemeliharaan Jaringan Irigasi dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021 Bidang Irigasi. Mencakup kompetensi inspeksi jaringan irigasi, perbaikan saluran, pemeliharaan bangunan air, dan pelaporan kondisi jaringan irigasi.","The Irrigation Network Maintenance Implementer scheme references SKKNI Water Resources No. 124 of 2021 (Irrigation Field). It covers irrigation network inspection, channel repair, water structure maintenance, and irrigation network condition reporting competencies.","Template-based / SKKNI 124/2021"
"Konstruksi","Skema Okupasi Penilai Kegagalan Bangunan Sumber Daya Air","Water Resources Building Failure Assessor","Skema sertifikasi okupasi Penilai Kegagalan Bangunan Sumber Daya Air dikembangkan oleh Komite Skema LSP Jasa Konstruksi mengacu pada SKKNI Sumber Daya Air No. 124 Tahun 2021. Mencakup kompetensi investigasi penyebab kegagalan bangunan sumber daya air, analisis forensik struktur, dan penyusunan laporan kegagalan bangunan.","The Water Resources Building Failure Assessor scheme references SKKNI Water Resources No. 124 of 2021. It covers investigating causes of water resources structure failures, structural forensic analysis, and building failure report preparation competencies.","Template-based / SKKNI 124/2021"
"Pertanian Perkebunan dan Peternakan","Skema Okupasi Fasilitator Pertanian Organik Tanaman","Plant Organic Agriculture Facilitator","Skema sertifikasi Fasilitator Pertanian Organik Tanaman dikembangkan oleh Komite Skema LSP Pertanian mengacu pada SKKNI Bidang Pertanian Organik. Mencakup kompetensi memfasilitasi petani dalam menerapkan prinsip pertanian organik, pengelolaan kesuburan tanah secara organik, dan pengendalian hama hayati.","The Plant Organic Agriculture Facilitator scheme references the SKKNI Organic Agriculture Field. It covers facilitating farmers in applying organic farming principles, organic soil fertility management, and biological pest control competencies.","Template-based / SKKNI Pertanian Organik"
"Pertanian Perkebunan dan Peternakan","Skema Okupasi Inspektor Organik Tanaman","Plant Organic Inspector","Skema sertifikasi Inspektor Organik Tanaman dikembangkan oleh Komite Skema LSP Pertanian Organik mengacu pada SKKNI Bidang Pertanian Organik. Mencakup kompetensi inspeksi dan verifikasi kepatuhan terhadap standar pertanian organik, pengambilan sampel, dan penyusunan laporan inspeksi organik.","The Plant Organic Inspector scheme references the SKKNI Organic Agriculture Field. It covers inspection and verification of compliance with organic farming standards, sample collection, and organic inspection report preparation competencies.","Template-based / SKKNI Pertanian Organik"
"Pertanian Perkebunan dan Peternakan","Skema Okupasi Pekerja Hortikultura","Horticulture Worker","Skema sertifikasi Pekerja Hortikultura dikembangkan oleh Komite Skema LSP Pertanian mengacu pada SKKNI berdasarkan Kepmenakertrans No. 605/MEN/IX/2012 Bidang Hortikultura. Mencakup kompetensi penanaman, pemeliharaan tanaman hortikultura, pengelolaan hama dan penyakit, dan pemanenan hasil hortikultura.","The Horticulture Worker scheme references SKKNI Kepmenakertrans No. 605/MEN/IX/2012 (Horticulture Field). It covers planting, horticultural crop maintenance, pest and disease management, and horticultural produce harvesting competencies.","Template-based / Kepmenakertrans 605/2012"
"Pertanian Perkebunan dan Peternakan","Skema Okupasi Pembibitan Tanaman Kelapa Sawit","Oil Palm Seedling / Nursery","Skema sertifikasi Pembibitan Tanaman Kelapa Sawit dikembangkan oleh Komite Skema LSP Perkebunan mengacu pada SKKNI Bidang Perkebunan Kelapa Sawit. Mencakup kompetensi seleksi benih kelapa sawit bermutu, persiapan media tanam, pemeliharaan bibit di pre-nursery dan main-nursery, serta penilaian kualitas bibit siap tanam.","The Oil Palm Seedling/Nursery scheme references the SKKNI Oil Palm Plantation Field. It covers quality oil palm seed selection, growing media preparation, seedling maintenance in pre-nursery and main-nursery, and assessment of planting-ready seedling quality competencies.","Template-based / SKKNI Perkebunan Sawit"
