Sektor,Indonesian Title,English Translation
Lingkungan Hidup,Skema Okupasi Penanggung Jawab Operasional Pengolahan Air Limbah (POPAL),Wastewater Treatment Operations Person-in-Charge
Lingkungan Hidup,Skema Okupasi Penanggung Jawab Pengendalian Pencemaran Udara (PPPU),Air Pollution Control Person-in-Charge
Lingkungan Hidup,Skema Okupasi Penanggung Jawab Operasional Pengendalian Pencemaran Udara (POPU),Air Pollution Control Operations Person-in-Charge
Lingkungan Hidup,Skema Okupasi Penanggung Jawab Pengelolaan Limbah B3 (PPLB3),B3 Hazardous Waste Management Person-in-Charge
Lingkungan Hidup,Skema Okupasi Operasional Pengelolaan Limbah B3 (OPLB3),B3 Hazardous Waste Operational Management
Lingkungan Hidup,Skema Okupasi Petugas Pengambil Contoh Uji Air (PCUA),Water Sample Collection Officer
Lingkungan Hidup,Skema Okupasi Penilai Keberhasilan Reklamasi Hutan,Forest Reclamation Success Assessor
Industri Halal,Skema Sertifikasi Okupasi Auditor Halal,Halal Auditor
Industri Halal,Skema Sertifikasi Okupasi Penyelia Halal,Halal Supervisor
Industri Halal,Skema Sertifikasi Okupasi Juru Sembelih Halal (Juleha),Halal Slaughter Officer
Koperasi dan UMKM,Skema Okupasi Kasir Koperasi Jasa Keuangan,Cooperative Financial Services Cashier
Koperasi dan UMKM,Skema Okupasi Juru Buku,Bookkeeper
Koperasi dan UMKM,Skema Okupasi Juru Survey,Survey Officer
Koperasi dan UMKM,Skema Okupasi Juru Tagih,Collection Officer
Koperasi dan UMKM,Skema Okupasi Customer Service Koperasi,Cooperative Customer Service
Koperasi dan UMKM,Skema Okupasi Petugas Pengendalian Intern Koperasi,Cooperative Internal Control Officer
Koperasi dan UMKM,Skema Okupasi Analis Pinjaman,Loan Analyst
Koperasi dan UMKM,Skema Okupasi Kepala Bagian Pendanaan,Head of Funding
Koperasi dan UMKM,Skema Okupasi Kepala Bagian Akuntansi (Koperasi),Head of Accounting (Cooperative)
Koperasi dan UMKM,Skema Okupasi Kepala Bagian Pinjaman / Pembiayaan,Head of Lending / Financing
Koperasi dan UMKM,Skema Okupasi Manajer / Kepala Cabang Koperasi,Cooperative Manager / Branch Head
Koperasi dan UMKM,Skema Okupasi Manajer Ritel Koperasi,Cooperative Retail Manager
Koperasi dan UMKM,Skema Okupasi Pengawas Koperasi,Cooperative Supervisor
Koperasi dan UMKM,Skema Sertifikasi Okupasi Manajer Koperasi Desa / Kelurahan Merah Putih,Manager of Red-and-White Village / Kelurahan Cooperative
Koperasi dan UMKM,Skema Sertifikasi Okupasi Bendahara Koperasi Desa / Kelurahan Merah Putih,Treasurer of Red-and-White Village / Kelurahan Cooperative
Koperasi dan UMKM,Skema Okupasi Konsultan Pendamping UMKM Junior,Junior SME Mentoring Consultant
Koperasi dan UMKM,Skema Okupasi Konsultan Pendamping UMKM Senior,Senior SME Mentoring Consultant
Sektor Publik,Skema Okupasi Pengelola PBJ Pertama,Junior Procurement Manager (Functional Position)
Sektor Publik,Skema Okupasi Pengelola PBJ Muda,Middle Procurement Manager (Functional Position)
Sektor Publik,Skema Okupasi Pengelola PBJ Madya,Senior Procurement Manager (Functional Position)
Sektor Publik,Skema Okupasi Pejabat Pembuat Komitmen (PPK),Commitment-Making Official
Sektor Publik,Skema Okupasi Pokja Pemilihan Pengadaan Barang / Jasa,Procurement Selection Working Group Member
Sektor Publik,Skema Okupasi Pejabat Pengadaan,Procurement Officer
Sektor Publik,Skema Okupasi Analis Kebijakan Publik,Public Policy Analyst
Sektor Publik,Skema Okupasi Public Relations Officer,Public Relations Officer
Sektor Publik,Skema Okupasi Pengelola Informasi dan Dokumentasi Publik (PID),Public Information & Documentation Manager
Sektor Publik,Skema Okupasi Junior Administrative Assistant,Junior Administrative Assistant
Sektor Publik,Skema Okupasi Teknisi Pemetaan dan Sistem Informasi Geografis,Mapping & GIS Technician
Sektor Publik,Skema Okupasi Penyusun Program Pemberdayaan Masyarakat,Community Empowerment Program Drafter
Sektor Publik,Skema Okupasi Fasilitator Pemberdayaan Masyarakat,Community Empowerment Facilitator
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Instruktur Junior,Junior Instructor
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Instruktur (Level IV),Instructor (Level IV)
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Instruktur Senior (Kualifikasi 5),Senior Instructor (Qualification 5)
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Instruktur Madya,Middle Instructor
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Instruktur Master,Master Instructor
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Asesor Kompetensi,Competency Assessor
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Master Asesor Kompetensi,Master Competency Assessor
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Guru Bahasa Inggris,English Teacher
Pelatihan Asesmen dan Pendidikan,Skema Okupasi Laboran,Laboratory Assistant (Qualification II)
Industri Kreatif dan Komunikasi,Skema KKNI Level II Animasi,KKNI L2 Animation
Industri Kreatif dan Komunikasi,Skema KKNI Level II Desain Komunikasi Visual,KKNI L2 Visual Communication Design
Industri Kreatif dan Komunikasi,Skema KKNI Level II Multimedia,KKNI L2 Multimedia
Industri Kreatif dan Komunikasi,Skema KKNI Level III Produksi Film dan Program Televisi,KKNI L3 Film & TV Program Production
Industri Kreatif dan Komunikasi,Skema KKNI Level III Desain Fesyen,KKNI L3 Fashion Design
Industri Kreatif dan Komunikasi,Skema KKNI Level II Kriya Kreatif Batik dan Tekstil,KKNI L2 Batik & Textile Creative Craft
Industri Kreatif dan Komunikasi,Skema Okupasi Pengarah Seni Junior (Junior Art Director),Junior Art Director
Industri Kreatif dan Komunikasi,Skema Okupasi Desainer Motif Batik,Batik Pattern Designer
Industri Kreatif dan Komunikasi,Skema Okupasi Fotografer Studio,Studio Photographer
Industri Kreatif dan Komunikasi,Skema Okupasi Content Creator,Content Creator
Industri Kreatif dan Komunikasi,Skema Okupasi Creative Director / Chief Creative Officer,Creative Director / Chief Creative Officer
Industri Kreatif dan Komunikasi,Skema Okupasi Art Director,Art Director
Lintas Sektor,Skema Okupasi Tenaga Pemasar Operasional Area Merek,Brand Area Operational Marketing Officer
Lintas Sektor,Skema Okupasi Tenaga Pemasar Operasional Area Layanan,Service Area Operational Marketing Officer
Lintas Sektor,Skema Okupasi Penyusun Dokumen HACCP,HACCP Document Drafter
Lintas Sektor,Skema Okupasi Melindungi Warisan Budaya Takbenda (WBTb) Melalui Pencatatan,Intangible Cultural Heritage Protection via Documentation
Lintas Sektor,Skema Okupasi Cleaning Service / Klining Servis,Cleaning Service
Lintas Sektor,Skema Okupasi Teknisi Akuntansi Pratama,Junior Accounting Technician
Lintas Sektor,Skema Okupasi Teknisi Akuntansi Muda,Middle Accounting Technician
Lintas Sektor,Skema Okupasi Teknisi Akuntansi Madya,Senior Accounting Technician
Lintas Sektor,Skema Okupasi Teknisi Akuntansi Ahli,Expert Accounting Technician
