job_id,total,kept
in-d42e9aea75f03c43,8,7
in-d44662909d64a488,4,2
in-d4730be1476234d7,19,5
in-d50afc0290420274,9,4
in-d516e8f69716dc8b,4,3
in-d53a7bbabd80ed71,40,6
in-d5b40a36e61a04e8,7,5
in-d68e0fd00160caea,18,4
in-d6e7d2701a4e7c6b,15,11
in-d6ea565f50a20228,13,7
in-d75ce93e49f35f6a,15,5
in-d77bb591d93671ce,14,2
in-d7a019578ef1803a,9,8
in-d7c7234ce1ddc181,2,1
in-d813e8e688454395,8,4
in-d82467e154dfc64d,13,1
in-d8558a69e22516bc,34,27
in-d9278a964a2270f7,2,0
in-d941a84ff170e035,5,1
in-d9662784dba24854,20,5
in-d9a4b3b58b48d478,20,3
in-d9bee15dc9a1d9e9,30,9
in-da0a7ab60fd437d7,28,2
in-da45dceea9ef5770,36,11
in-da48b82aff62ae6c,32,7
in-daa8966da4cb90d6,12,0
in-dadac82e3747b4f0,4,0
in-db9e86cacec8d89f,16,4
in-dc1684982856ac28,11,2
in-dc1a910697582ff4,5,4
in-dc413a03377e788e,12,2
in-dcd40e09b7e0e3c8,28,11
in-dcff1831ab0b6fb1,16,2
in-dd0347b7c906a804,14,6
in-dd3cae48f875fda8,16,10
in-dd6a0e5e7dba8b1b,23,3
in-dd91bd34d113a718,10,0
in-dd9ba13e5bceb83d,27,18
in-ddc26ff623ac2966,14,7
in-ddf0583be5dc0617,35,24
in-de0fe7e7c39a0694,15,3
in-de11a076bfe32b13,5,4
in-de75c2ae7a5c7d18,11,11
in-ded3cb4858cf040c,33,5
in-deff1ec868bc62c7,31,23
in-df2b5c9cf0eec003,11,2
in-df3f22736facfeac,25,8
in-df48aa4df4f485e8,16,6
in-df5b33b9f3c328c7,10,6
in-df700f77a56749ef,9,3
in-dfb85616896bcf18,8,7
in-dfc10f7d23cfe255,16,9
in-dff3fad03d9ca3d9,2,0
in-e06397cdf902595e,23,5
in-e07048b64f0873bf,6,2
in-e0a69d79fc90e004,14,5
in-e0d0d66bb8b7e12a,2,1
in-e0d0ec6ea01a8a7d,12,6
in-e18dd56c58ebd26a,13,3
in-e1ca3819551789bd,19,0
in-e1cccf79f7074f1d,7,1
in-e24db9cecc1be95c,28,5
in-e2d0de86220aafbe,15,7
in-e324fbac0b84db6e,4,4
in-e35b904eaabed796,7,5
in-e3b585ed9e8a5ece,31,30
in-e3b6a9a61a62dcfd,5,0
in-e41f866e2942c74c,8,4
in-e4e2c957e6e53fab,19,3
in-e4e55b1c28cb3ec8,30,2
in-e4f142d537136fba,25,19
in-e4fccefe17f5cd64,5,4
in-e58620419782850f,17,9
in-e5d44cff69341c2a,19,7
in-e5e1e9a9fe797fae,10,4
in-e650ff452d3fff87,16,3
in-e65eda467eea4c54,7,2
in-e6638a5952003857,19,6
in-e6ac5056b027727b,16,5
in-e6b2decb4fabbde2,14,3
in-e6bb481de0084f3e,7,5
in-e6e9054083c542a8,24,20
in-e7666ef634ab22f9,16,5
in-e785cb4ef69d2db4,3,3
in-e863988a09b30d8b,14,8
in-e86cfe2ef32336a3,8,2
in-e8c342f04d5bf8af,5,0
in-e93ae5e5e36823c7,11,9
in-e9a7d87e54ff23ac,8,0
in-e9b4af45c1c7f3d8,19,4
in-e9bb55ce040afe0e,20,6
in-e9d57a06afb0ab0f,2,1
in-ea80f3916e41b681,12,3
in-eaafb2c6f6f049c3,9,5
in-eaf4301d46618cd7,8,2
in-eb23a78d628e6ac1,13,7
in-eb2e4faf611bedc5,7,7
in-eb48523dfac29623,16,3
in-ebe7846a0964d6a5,5,2
in-ec270495f7716666,12,2
in-ec6400e764454b8e,10,3
in-ec735e19a47aed1a,34,13
in-ecf87ad5373e8b3f,28,7
in-ecfe68da9c1e4d87,12,7
in-ed4960241e0e3187,13,2
in-edb2a9bbf65f359d,23,5
in-ee246a865a421edc,4,2
in-ee2e03bd92fa7095,5,4
in-ee68a99582cc4a31,14,9
in-ee9acc36ff40b2b6,19,10
in-eeb912b7ed03caad,7,7
in-eefdffe82c18dc8b,26,4
in-ef6fb796a222df87,2,1
in-efe9e4f73cfce310,16,12
in-eff892ecfa20f062,14,5
in-f00f6cb9f3c830f2,24,8
in-f084de67a95fef57,5,1
in-f0bcb6ddbf4304f8,26,5
in-f0d0429f410ad2d3,12,3
in-f12f64ae9019ddd6,2,2
in-f14ec8e6b9011c06,16,2
in-f17a397321e606f5,21,12
in-f1b200d0163fd411,1,1
in-f1f1422aefd73aed,8,8
in-f1fdd5769915e3a2,2,0
in-f21a5a8057967be5,16,6
in-f22283da3d104a47,11,2
in-f254543cbaf5ff1c,10,0
in-f30717b7942c41eb,12,2
in-f323714988853fba,19,4
in-f331fb5c7713405d,9,9
in-f341f3f2a7558a23,23,9
in-f3422541933735d5,8,1
in-f383014a531d6f6b,19,5
in-f3c4341087b7e736,18,3
in-f400bda9184d19f1,25,4
in-f40903cd503ff158,54,39
in-f48faf21cbfb7472,24,4
in-f4d6d53b66af8cbd,31,12
in-f4e15c67922a7d4a,11,8
in-f52180410ae0096d,9,6
in-f5395ae57bc8fdf9,6,0
in-f56a14d4d54b93df,20,5
in-f593df3126f2b4c9,8,4
in-f5b272418549046c,13,3
in-f5cffb51c350e66a,6,6
in-f60bca8ecb0b3845,17,9
in-f6677815e661d2f8,30,6
in-f6c6b85a7aba0363,11,4
in-f85ca892a859c629,8,2
in-f8d866133ea6bc3a,18,5
in-f92ce35ebde847e0,3,3
in-f9527554b12496b3,2,0
in-f95305e30d20d427,24,5
in-f967813736812b9e,25,10
in-f975b16afdbdeb8d,11,4
in-f9cb77becd9e499d,33,32
in-f9d49b5c4590fc46,26,1
in-f9e9ace1097af3f3,4,3
in-fac11efdb7b8f038,26,2
in-faf1d6047c07c101,8,5
in-fb5015af73b8ddd8,15,4
in-fb8fb3a0c507f729,11,9
in-fba7d0907338c7ce,19,12
in-fbd5ed5a16212d6c,12,1
in-fbedf2fdc72b41bd,18,3
in-fc447b815d252d22,4,2
in-fcdb627b2cdc1963,13,10
in-fd857bb361e1933d,23,3
in-fd8e844dc8f7ad0d,2,1
in-fdce630352bdcf10,18,5
in-fe7133962d757c44,13,3
in-fe97ecfbafad3591,3,0
in-fefe4536186a4aee,13,12
in-ff29eaea5e6ecf42,19,4
in-ff53818cc6b16621,7,0
in-ff99f8d53b0315ef,11,1
in-ffe049e4aa6134c3,22,5
in-ffe4595c4e1108e1,6,5
